name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Вологодский район,31922,vologodskii-raion,2,,59.318586,39.476672,Вологодская область,19
Междуреченский район,19232,mezhdurechenskii-raion,2,,59.311041,41.267418,Вологодская область,19
Шекснинский район,19258,sheksninskii-raion,2,,59.251843,38.637537,Вологодская область,19
Вологда,19401,vologda,2,,59.220496,39.891523,Вологодская область,19
Каргасокский,69224,kargasokskii,2,,59.218645,79.924144,Томская область,69
Новолялинский,65229,novolialinskii,2,,59.199408,59.976236,Свердловская область,65
Верхнекетский,69216,verkhneketskii,2,,59.182123,86.311938,Томская область,69
Вохомский район,34206,vokhomskii-raion,2,,59.163792,46.635939,Костромская область,34
Сланцевский район,41242,slantsevskii-raion,2,,59.155184,28.314251,Ленинградская область,41
Череповец,19430,cherepovets,2,,59.127415,37.906929,Вологодская область,19
Чудовский район,49250,chudovskii-raion,2,,59.120326,31.808679,Новгородская область,49
Губахинский район,86025,gubakhinskii-raion,2,,59.117698,56.225679,Пермский край,57
Павинский район,34232,pavinskii-raion,2,,59.108828,46.142809,Костромская область,34
пос. Палана,30132657,pos-palana,2,,59.0843,159.953705,Камчатский край,30
Чагодощенский район,19254,chagodoshchenskii-raion,2,,59.068965,35.502561,Вологодская область,19
Юсьвинский район,89008,iusvinskii-raion,2,,59.053836,55.511132,Пермский край,57
Солигаличский район,34240,soligalichskii-raion,2,,59.052572,42.198855,Костромская область,34
Любытинский район,49216,liubytinskii-raion,2,,59.034954,33.333713,Новгородская область,49
Кизеловский район,86031,kizelovskii-raion,2,,59.032866,58.055323,Пермский край,57
Даровской район,33212,darovskoi-raion,2,,59.016188,47.876279,Кировская область,33
Череповецкий район,19256,cherepovetskii-raion,2,,59.006485,37.960307,Вологодская область,19
Октябрьский район,34228,oktiabrskii-raion,2,,59.004581,47.130031,Костромская область,34
Юрьянский район,33249,iurianskii-raion,2,,59.000567,49.478308,Кировская область,33
Белохолуницкий район,33205,belokholunitskii-raion,2,,58.984772,51.208032,Кировская область,33
Кудымкарский район,89007,kudymkarskii-raion,2,,58.959032,54.164082,Пермский край,57
Кологривский район,34212,kologrivskii-raion,2,,58.947007,44.185614,Костромская область,34
Уватский район,712481,uvatskii-raion,2,,58.909246,71.42945,Тюменская область,71
Гремячинский район,86022,gremiachinskii-raion,2,,58.906597,58.24511,Пермский край,57
Хвойнинский район,49245,khvoininskii-raion,2,,58.905886,34.481895,Новгородская область,49
Пыщугский район,34238,pyshchugskii-raion,2,,58.905398,45.623933,Костромская область,34
Чухломский район,34246,chukhlomskii-raion,2,,58.897709,42.998607,Костромская область,34
Устюженский район,19250,ustiuzhenskii-raion,2,,58.887481,36.390051,Вологодская область,19
Афанасьевский район,33203,afanasevskii-raion,2,,58.88623,53.262793,Кировская область,33
Грязовецкий район,19224,griazovetskii-raion,2,,58.881263,40.64282,Вологодская область,19
Межевской район,34222,mezhevskoi-raion,2,,58.8684,45.019349,Костромская область,34
Слободской район,33235,slobodskoi-raion,2,,58.847476,50.156248,Кировская область,33
Таборинский р-н,65245,taborinskii-r-n,2,,58.826389,64.43285,Свердловская область,65
Лужский район,41233,luzhskii-raion,2,,58.826217,29.654618,Ленинградская область,41
Кежемский район,4224,kezhemskii-raion,2,,58.817868,100.708617,Красноярский край,4
Маловишерский район,49220,malovisherskii-raion,2,,58.81592,32.40746,Новгородская область,49
Омутнинский район,33228,omutninskii-raion,2,,58.809992,52.307183,Кировская область,33
Алданский район,98203,aldanskii-raion,2,,58.731975,127.882403,Республика Саха (Якутия),98
Верхотурский,65212,verkhoturskii,2,,58.707503,61.134712,Свердловская область,65
Качканарский,654481,kachkanarskii,2,,58.707438,59.468283,Свердловская область,65
Орловский район,33245,orlovskii-raion,2,,58.697564,48.783955,Кировская область,33
Богучанский район,4209,boguchanskii-raion,2,,58.678772,97.500635,Красноярский край,4
Ильинский район,85947,ilinskii-raion,2,,58.645747,55.764251,Пермский край,57
Лесной,655421,lesnoi,2,,58.635513,59.79863,Свердловская область,65
Нижняя Тура,654781,nizhniaia-tura,2,,58.631035,59.85216,Свердловская область,65
Добрянский район,86028,dobrianskii-raion,2,,58.624302,56.660716,Пермский край,57
Пестовский район,49232,pestovskii-raion,2,,58.611879,35.649974,Новгородская область,49
Буйский район,34204,buiskii-raion,2,,58.604716,41.505131,Костромская область,34
