name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Троицко-Печорский район,87236,troitsko-pechorskii-raion,2,,62.439552,57.491424,Республика Коми,87
Кондопожский район,86215,kondopozhskii-raion,2,,62.40508,33.944011,Республика Карелия,86
Суоярвский район,86250,suoiarvskii-raion,2,,62.373284,32.114358,Республика Карелия,86
Октябрьский район,71121,oktiabrskii-raion,2,,62.297992,66.069553,Ханты-Мансийский автономный округ - Югра,71100
Когалым,71183,kogalym,2,,62.264069,74.482761,Ханты-Мансийский автономный округ - Югра,71100
Горный район,98220,gornyi-raion,2,,62.254475,125.639552,Республика Саха (Якутия),98
Усть-Вымский район,87244,ust-vymskii-raion,2,,62.183742,49.788819,Республика Коми,87
Нягань,71139,niagan,2,,62.145759,65.433654,Ханты-Мансийский автономный округ - Югра,71100
Радужный,71137,raduzhnyi,2,,62.134265,77.458439,Ханты-Мансийский автономный округ - Югра,71100
Шенкурский район,11258,shenkurskii-raion,2,,62.123213,42.59176,Архангельская область,11
Ленский район,11235,lenskii-raion,2,,62.093989,48.668449,Архангельская область,11
Пудожский район,86242,pudozhskii-raion,2,,62.058444,36.655072,Республика Карелия,86
Якутск,98401,iakutsk,2,,62.028103,129.732663,Республика Саха (Якутия),98
